Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
222 Harvard St #3V, 222 Harvard St #3V, 02139, Cambridge, MA, 42.367474, -71.10044, 5700, FOR_RENT, SINGLE_FAMILY, 349473915, 1200, 3, 2, # 3V, 4, 3, 7500554000, true, false, -1, false
7-9 Story St UNIT 3G, 7-9 Story St UNIT 3G, 02138, Cambridge, MA, 42.374023, -71.12234, 8200, FOR_RENT, APARTMENT, 2053278477, 1500, 5, 2, Unit 3G, 10, 7, 24519194000, true, false, -1, false
20 Chestnut St, 20 Chestnut St, 02139, Cambridge, MA, 42.355423, -71.107346, 3800, FOR_RENT, APARTMENT, 56427389, 986, 2, 2, , 5, 5, 76185000, true, false, -1, false
24 Bay State Rd UNIT 18, 24 Bay State Rd UNIT 18, 02138, Cambridge, MA, 42.387, -71.14007, 3300, FOR_RENT, APARTMENT, 87799193, 900, 2, 1, Unit 18, 1, 8, 83770000, true, false, -1, false
401 Norfolk St #1, 401 Norfolk St #1, 02139, Cambridge, MA, 42.374077, -71.095924, 5950, FOR_RENT, APARTMENT, 2080877187, 1500, 4, 2, # 1, 2, 5, 100016000, true, false, -1, false
132 Sherman St APT 12, 132 Sherman St APT 12, 02140, Cambridge, MA, 42.390034, -71.132576, 3100, FOR_RENT, APARTMENT, 2086548051, 725, 2, 1, Apt 12, 10, 3, 1133575000, true, false, -1, false
66 Pleasant St APT 3, 66 Pleasant St APT 3, 02139, Cambridge, MA, 42.362854, -71.109436, 4500, FOR_RENT, APARTMENT, 2084124295, 1200, 4, 1, Apt 3, 4, 4, 376574000, true, false, -1, false
1537 Cambridge St #1, 1537 Cambridge St #1, 02139, Cambridge, MA, 42.37455, -71.10605, 3600, FOR_RENT, APARTMENT, 2106849477, undefined, 3, 1, # 1, 3, 7, 788929000, true, false, -1, false
346 Harvard St APT 3, 346 Harvard St APT 3, 02138, Cambridge, MA, 42.370678, -71.10965, 3950, FOR_RENT, APARTMENT, 56431141, 715, 1, 1, Apt 3, 4, 7, 452683000, true, false, -1, false
341 Franklin St #2-05, 341 Franklin St #2-05, 02139, Cambridge, MA, 42.36595, -71.107574, 3300, FOR_RENT, APARTMENT, 441886493, 990, 2, 2, # 2-05, 7, 10, 119125000, true, false, -1, false
886 Massachusetts Ave #212, 886 Massachusetts Ave #212, 02139, Cambridge, MA, 42.368027, -71.10804, 3100, FOR_RENT, APARTMENT, 344085692, undefined, 2, 1, # 212, 2, 7, 3289836000, true, false, -1, false
39 Line St #1, 39 Line St #1, 02138, Cambridge, MA, 42.377003, -71.10623, 3000, FOR_RENT, APARTMENT, 2102457844, undefined, 2, 1, # 1, 5, 9, 283869000, true, false, -1, false
340 Putnam Ave #2, 340 Putnam Ave #2, 02139, Cambridge, MA, 42.361565, -71.113335, 4000, FOR_RENT, APARTMENT, 2080271182, 1100, 3, 1, # 2, 9, 8, 189405000, true, false, -1, false
3 Ellery St #3D, 3 Ellery St #3D, 02138, Cambridge, MA, 42.36977, -71.11193, 2700, FOR_RENT, APARTMENT, 2087256914, undefined, 1, 1, # 3D, 8, 1, 965519000, true, false, -1, false
1427 Cambridge St #4, 1427 Cambridge St #4, 02139, Cambridge, MA, 42.37405, -71.101875, 4700, FOR_RENT, APARTMENT, 2056995152, 1200, 3, 1, # 4, 6, 5, 1312900000, true, false, -1, false
10 Cambridge Ter #1F, 10 Cambridge Ter #1F, 02140, Cambridge, MA, 42.38808, -71.1226, 5000, FOR_RENT, APARTMENT, 2068574327, undefined, 4, 2, # 1F, 2, 7, 25156375000, true, false, -1, false
25 Plymouth St TOWNHOUSE 2, 25 Plymouth St TOWNHOUSE 2, 02141, Cambridge, MA, 42.36885, -71.09187, 3450, FOR_RENT, APARTMENT, 2073574739, undefined, 2, 1, Townhouse 2, 10, 9, 442448000, true, false, -1, false
1 Whittemore Ave UNIT 218, 1 Whittemore Ave UNIT 218, 02140, Cambridge, MA, 42.39834, -71.13402, 4872, FOR_RENT, APARTMENT, 347600911, 1268, 3, 2, Unit 218, 6, 10, 388370000, true, false, -1, false
375 Harvard St APT 17A, 375 Harvard St APT 17A, 02138, Cambridge, MA, 42.372055, -71.11215, 2900, FOR_RENT, APARTMENT, 2080594178, 750, 2, 1, Apt 17A, 8, 9, 1304933000, true, false, -1, false
120 Rindge Ave #12430, 120 Rindge Ave #12430, 02140, Cambridge, MA, 42.392643, -71.12987, 4000, FOR_RENT, APARTMENT, 2077664826, 849, 2, 2, # 12430, 5, 9, 1586053000, true, false, -1, false
292 Harvard St #9-6, 292 Harvard St #9-6, 02139, Cambridge, MA, 42.369453, -71.105255, 4295, FOR_RENT, APARTMENT, 405231714, 1000, 3, 1, # 9-6, 5, 5, 6852106000, true, false, -1, false
258 Harvard St #266-6, 258 Harvard St #266-6, 02139, Cambridge, MA, 42.36827, -71.10199, 3300, FOR_RENT, APARTMENT, 404746001, 620, 2, 1, # 266-6, 9, 1, 6867706000, true, false, -1, false
110 2nd St UNIT 107, 110 2nd St UNIT 107, 02141, Cambridge, MA, 42.367764, -71.07921, 3900, FOR_RENT, APARTMENT, 2127577590, 1132, 2, 2, Unit 107, 9, 3, 114413000, true, false, -1, false
19-21 Wendell St #21-06, 19-21 Wendell St #21-06, 02138, Cambridge, MA, 42.381756, -71.11781, 3050, FOR_RENT, APARTMENT, 2079519605, 543, 1, 1, # 21-06, 8, 4, 3239868000, true, false, -1, false
194 Prospect St #2, 194 Prospect St #2, 02139, Cambridge, MA, 42.36983, -71.10043, 4500, FOR_RENT, APARTMENT, 67302125, 1302, 2, 2, # 2, 3, 8, 27311000, true, false, -1, false
40 Gibson St #5D, 40 Gibson St #5D, 02138, Cambridge, MA, 42.375954, -71.13269, 3000, FOR_RENT, APARTMENT, 2055335960, 675, 1, 1, # 5D, 6, 6, 198553000, true, false, -1, false
171 River St #3, 171 River St #3, 02139, Cambridge, MA, 42.363747, -71.110085, 6950, FOR_RENT, APARTMENT, 2069568871, 1400, 4, 3, # 3, 7, 7, 105549000, true, false, -1, false
811 Somerville Ave #3, 811 Somerville Ave #3, 02143, Somerville, MA, 42.388107, -71.11788, 3800, FOR_RENT, APARTMENT, 441834000, 1201, 3, 1, # 3, 2, 10, 349690000, true, false, -1, false
183 River St #2C, 183 River St #2C, 02139, Cambridge, MA, 42.363564, -71.11042, 6250, FOR_RENT, APARTMENT, 2065531248, undefined, 5, 2, # 2C, 1, 3, 19038980000, true, false, -1, false
147 Columbia St #33L, 147 Columbia St #33L, 02139, Cambridge, MA, 42.36685, -71.09804, 4600, FOR_RENT, APARTMENT, 343862290, undefined, 3, 1, # 33L, 9, 5, 19723275000, true, false, -1, false
173-175 Rindge Ave #1R, 173-175 Rindge Ave #1R, 02140, Cambridge, MA, 42.393055, -71.129295, 5000, FOR_RENT, APARTMENT, 352357815, undefined, 3, 2, # 1R, 5, 1, 10742341000, true, false, -1, false
384 Harvard St #1, 384 Harvard St #1, 02138, Cambridge, MA, 42.371693, -71.11329, 9900, FOR_RENT, APARTMENT, 2079277120, 1600, 3, 4, # 1, 8, 1, 2935634000, true, false, -1, false
25 Magoun St #3, 25 Magoun St #3, 02140, Cambridge, MA, 42.39979, -71.13548, 3500, FOR_RENT, APARTMENT, 345421026, 1197, 3, 1, # 3, 2, 4, 2328466000, true, false, -1, false
214 Banks St #12, 214 Banks St #12, 02138, Cambridge, MA, 42.365864, -71.11483, 2500, FOR_RENT, APARTMENT, 400849842, 450, 0, 1, # 12, 4, 9, 8233204000, true, false, -1, false
15-A Suffolk St #1, 15-A Suffolk St #1, 02139, Cambridge, MA, 42.366234, -71.09938, 2900, FOR_RENT, APARTMENT, 441206520, 950, 2, 2, # 1, 10, 1, 1400059000, true, false, -1, false
23 Lambert St UNIT 1F, 23 Lambert St UNIT 1F, 02141, Cambridge, MA, 42.372353, -71.086945, 2900, FOR_RENT, APARTMENT, 342055146, 550, 1, 1, Unit 1F, 10, 2, 20476468000, true, false, -1, false
15 Harding St #1, 15 Harding St #1, 02141, Cambridge, MA, 42.372986, -71.090706, 3850, FOR_RENT, APARTMENT, 2099393270, 850, 3, 2, # 1, 8, 5, 4516555000, true, false, -1, false
