Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
3500 Washington St, 3500 Washington St, 02130, Jamaica Plain, MA, 42.30613, -71.107605, 799000, FOR_SALE, SINGLE_FAMILY, 59134920, 1532, 3, 2, , 2, 3, 2919220000, true, false, -1, false
12 Elm St #2, 12 Elm St #2, 02122, Dorchester, MA, 42.300797, -71.05345, 649000, FOR_SALE, CONDO, 440983746, 1065, 3, 2, # 2, 3, 8, 1709620000, true, false, -1, false
44 W Eagle St #1, 44 W Eagle St #1, 02128, BOSTON, MA, 42.38152, -71.03791, 524900, FOR_SALE, CONDO, 123850393, 722, 2, 2, # 1, 1, 1, 12423220000, true, false, -1, false
232 Beacon St APT 1, 232 Beacon St APT 1, 02116, Boston, MA, 42.353954, -71.079, 449000, FOR_SALE, CONDO, 59171076, 335, 0, 1, Apt 1, 7, 10, 2141620000, true, false, -1, false
29 Park St, 29 Park St, 02132, Boston, MA, 42.28651, -71.15877, 1199900, FOR_SALE, SINGLE_FAMILY, 59156448, 3200, 6, 3, , 4, 4, 10695220000, true, false, -1, false
303 Columbus Ave UNIT 302, 303 Columbus Ave UNIT 302, 02116, Boston, MA, 42.34669, -71.074615, 2975000, FOR_SALE, CONDO, 2116406858, 2183, 3, 3, Unit 302, 4, 1, 327220000, true, false, -1, false
257 Northampton St UNIT 312, 257 Northampton St UNIT 312, 02118, Roxbury, MA, 42.339554, -71.08156, 670000, FOR_SALE, CONDO, 118324429, 819, 1, 1, Unit 312, 8, 4, 413620000, true, false, -1, false
3 Appleton St APT 403, 3 Appleton St APT 403, 02116, Boston, MA, 42.346695, -71.06977, 549000, FOR_SALE, CONDO, 59175712, 547, 1, 1, Apt 403, 2, 5, 2660020000, true, false, -1, false
47 Montebello Rd #2, 47 Montebello Rd #2, 02130, Jamaica Plain, MA, 42.31215, -71.10102, 635000, FOR_SALE, CONDO, 59210375, 1061, 2, 1, # 2, 4, 10, 500020000, true, false, -1, false
156 Porter St APT 211, 156 Porter St APT 211, 02128, East Boston, MA, 42.37199, -71.03372, 595000, FOR_SALE, CONDO, 71490166, 990, 1, 1, Apt 211, 5, 1, 1450420000, true, false, -1, false
712 E 5th St #2, 712 E 5th St #2, 02127, South Boston, MA, 42.334167, -71.03166, 799000, FOR_SALE, CONDO, 81856736, 1060, 2, 2, # 2, 3, 3, 2141620000, true, false, -1, false
411 Commonwealth Ave #1, 411 Commonwealth Ave #1, 02215, Boston, MA, 42.34948, -71.091095, 5950000, FOR_SALE, CONDO, 440752626, 4600, 4, 5, # 1, 2, 7, 2314420000, true, false, -1, false
135 Commonwealth Ave APT 3, 135 Commonwealth Ave APT 3, 02116, Boston, MA, 42.35238, -71.078026, 798000, FOR_SALE, CONDO, 59171301, 663, 1, 1, Apt 3, 5, 5, 2746420000, true, false, -1, false
269 Commonwealth Ave, 269 Commonwealth Ave, 02116, Boston, MA, 42.350716, -71.084305, 11900000, FOR_SALE, MULTI_FAMILY, 59169781, 8508, 8, 10, , 8, 4, 2919220000, true, false, -1, false
11 Burrell St #PENTHOUSE, 11 Burrell St #PENTHOUSE, 02119, Roxbury, MA, 42.322422, -71.07197, 649900, FOR_SALE, CONDO, 441843349, 1856, 3, 2, # PENTHOUSE, 2, 10, 327220000, true, false, -1, false
247 D St #8, 247 D St #8, 02127, Boston, MA, 42.338547, -71.05084, 2099000, FOR_SALE, CONDO, 440986670, 2771, 3, 4, # 8, 4, 5, 1709620000, true, false, -1, false
548 Massachusetts Ave #4, 548 Massachusetts Ave #4, 02118, Boston, MA, 42.338524, -71.0786, 720000, FOR_SALE, CONDO, 59184329, 782, 2, 1, # 4, 7, 9, 1709620000, true, false, -1, false
110 Lanark Rd APT 12, 110 Lanark Rd APT 12, 02135, Brighton, MA, 42.34058, -71.1485, 420000, FOR_SALE, CONDO, 59093210, 536, 1, 1, Apt 12, 2, 10, 2746420000, true, false, -1, false
21 Temple St APT G, 21 Temple St APT G, 02114, Boston, MA, 42.36065, -71.06373, 599000, FOR_SALE, TOWNHOUSE, 59180524, 605, 1, 1, Apt G, 9, 5, 1450420000, true, false, -1, false
