Street Address, Street Name, Zipcode, City, State, Latitude, Longitude, Price, Listing Type, Home Type, ZPID, Area, Bedrooms, Bathrooms, Unit, Floor, Block, Time on Zillow, Is Non-Owner Occupied, Is Zillow Owned, Days on Zillow, Is Showcase Listing
15 Warwick Rd #3A, 15 Warwick Rd #3A, 02445, Brookline, MA, 42.338272, -71.142975, 4400, FOR_RENT, APARTMENT, 441723384, 1600, 3, 1, # 3A, 2, 7, 896773000, true, false, -1, false
18 Dean Rd #3, 18 Dean Rd #3, 02445, Brookline, MA, 42.337124, -71.141335, 4900, FOR_RENT, APARTMENT, 2098392868, 2200, 3, 2, # 3, 7, 1, 9825403000, true, false, -1, false
96 Winthrop Rd #1, 96 Winthrop Rd #1, 02445, Brookline, MA, 42.337032, -71.1319, 3000, FOR_RENT, APARTMENT, 2086447793, 1000, 2, 1, # 1, 8, 2, 1308388000, true, false, -1, false
32 Hammond Pond Pkwy #32, 32 Hammond Pond Pkwy #32, 02467, Chestnut Hill, MA, 42.31087, -71.16498, 4450, FOR_RENT, TOWNHOUSE, 433495192, 1824, 3, 3, # 32, 5, 3, 1036902000, true, false, -1, false
1109 Beacon St #21, 1109 Beacon St #21, 02446, Brookline, MA, 42.344624, -71.11127, 4100, FOR_RENT, APARTMENT, 440970263, undefined, 2, 2, # 21, 8, 1, 1696989000, true, false, -1, false
1109 Beacon St #34, 1109 Beacon St #34, 02446, Brookline, MA, 42.34467, -71.11166, 4200, FOR_RENT, APARTMENT, 440970262, undefined, 2, 2, # 34, 4, 10, 1696993000, true, false, -1, false
103 Lawton St #2, 103 Lawton St #2, 02446, Brookline, MA, 42.34914, -71.12718, 4850, FOR_RENT, APARTMENT, 2116283023, 1400, 3, 2, # 2, 3, 1, 1027023000, true, false, -1, false
197 Saint Paul St #1G, 197 Saint Paul St #1G, 02446, Brookline, MA, 42.3443, -71.11699, 3700, FOR_RENT, APARTMENT, 402454187, 1000, 2, 1, # 1G, 9, 6, 7458414000, true, false, -1, false
6 Ayr Rd #2B, 6 Ayr Rd #2B, 02135, Brighton, MA, 42.336773, -71.148766, 2650, FOR_RENT, APARTMENT, 440922364, undefined, 1, 1, # 2B, 6, 4, 1861630000, true, false, -1, false
54 Coolidge St #A, 54 Coolidge St #A, 02446, Brookline, MA, 42.345795, -71.12807, 2800, FOR_RENT, APARTMENT, 2071064650, 950, 2, 2, # A, 1, 10, 1383456000, true, false, -1, false
97 University Rd #1, 97 University Rd #1, 02445, Brookline, MA, 42.337612, -71.13194, 3400, FOR_RENT, APARTMENT, 2119699903, undefined, 3, 1, # 1, 7, 1, 2300068000, true, false, -1, false
203 High St, 203 High St, 02445, Brookline, MA, 42.325115, -71.12127, 3400, FOR_RENT, APARTMENT, 56571811, 1320, 6, 1, , 3, 4, 2435596000, true, false, -1, false
38 Auburn St #A, 38 Auburn St #A, 02446, Brookline, MA, 42.337753, -71.12329, 3150, FOR_RENT, APARTMENT, 2061828216, 846, 1, 1, # A, 4, 1, 2645946000, true, false, -1, false
98 Sewall Ave APT 1, 98 Sewall Ave APT 1, 02446, Brookline, MA, 42.34198, -71.11688, 3250, FOR_RENT, APARTMENT, 56564739, 804, 1, 1, Apt 1, 4, 10, 2645938000, true, false, -1, false
327 Saint Paul St #11, 327 Saint Paul St #11, 02446, Brookline, MA, 42.34914, -71.11586, 8200, FOR_RENT, APARTMENT, 440570165, 2500, 5, 2, # 11, 7, 4, 2737408000, true, false, -1, false
1731 Beacon St APT 315, 1731 Beacon St APT 315, 02445, Brookline, MA, 42.33784, -71.13986, 2500, FOR_RENT, APARTMENT, 56568734, 980, 1, 1, Apt 315, 6, 10, 2695183000, true, false, -1, false
173 Freeman St, 173 Freeman St, 02446, Brookline, MA, 42.347366, -71.11723, 3700, FOR_RENT, APARTMENT, 2103812458, undefined, 2, 2, , 3, 5, 1462797000, true, false, -1, false
79 Winchester St #1, 79 Winchester St #1, 02446, Brookline, MA, 42.3431, -71.12745, 3500, FOR_RENT, APARTMENT, 441181871, undefined, 2, 1, # 1, 9, 3, 2896669000, true, false, -1, false
91 Verndale St #2DW, 91 Verndale St #2DW, 02446, Brookline, MA, 42.346855, -71.13327, 6500, FOR_RENT, APARTMENT, 440356051, undefined, 4, 2, # 2DW, 3, 9, 3163258000, true, false, -1, false
183 Winthrop Rd #1, 183 Winthrop Rd #1, 02445, Brookline, MA, 42.33825, -71.135925, 2275, FOR_RENT, APARTMENT, 2110565175, 550, 1, 1, # 1, 6, 10, 3220354000, true, false, -1, false
17 Freeman St #709, 17 Freeman St #709, 02446, Brookline, MA, 42.346924, -71.11374, 3700, FOR_RENT, APARTMENT, 440156300, undefined, 2, 2, # 709, 2, 1, 3549697000, true, false, -1, false
98 Marion Ter #33, 98 Marion Ter #33, 02446, Brookline, MA, 42.339664, -71.12335, 2500, FOR_RENT, APARTMENT, 440179099, undefined, 1, 1, # 33, 9, 8, 3506906000, true, false, -1, false
261 Walnut St #3, 261 Walnut St #3, 02445, Brookline, MA, 42.329113, -71.12473, 5200, FOR_RENT, TOWNHOUSE, 2097748481, 1470, 4, 2, # 3, 5, 1, 1546590000, true, false, -1, false
29 Eliot St #4, 29 Eliot St #4, 02467, Chestnut Hill, MA, 42.3271, -71.14466, 6200, FOR_RENT, APARTMENT, 440652294, 2430, 4, 2, # 4, 1, 3, 2579237000, true, false, -1, false
208-212 Winthrop Rd #31, 208-212 Winthrop Rd #31, 02445, Brookline, MA, 42.337566, -71.134514, 2600, FOR_RENT, APARTMENT, 440787949, 555, 2, 1, # 31, 10, 3, 2163270000, true, false, -1, false
187 Winchester St #2, 187 Winchester St #2, 02446, Brookline, MA, 42.3452, -71.13174, 5000, FOR_RENT, APARTMENT, 439894598, undefined, 5, 2, # 2, 1, 7, 4201820000, true, false, -1, false
70 Cypress St APT 2, 70 Cypress St APT 2, 02445, Brookline, MA, 42.332592, -71.1246, 3000, FOR_RENT, APARTMENT, 2082798881, undefined, 1, 1, Apt 2, 1, 3, 4114838000, true, false, -1, false
35 Saint Paul St APT 1, 35 Saint Paul St APT 1, 02446, Brookline, MA, 42.337875, -71.11819, 2500, FOR_RENT, CONDO, 56565289, 648, 1, 1, Apt 1, 7, 6, 3531381000, true, false, -1, false
